Timestamp,Event
2026-07-14 21:12:59,Multiple Faces Detected
2026-07-14 21:13:09,Student Absent
2026-07-14 21:13:11,Looking Away
2026-07-14 21:13:11,Unknown Person Detected
2026-07-14 21:13:23,Unknown Person Detected
2026-07-14 21:13:33,Looking Away
2026-07-14 21:13:49,Looking Away
2026-07-14 21:13:49,Unknown Person Detected
2026-07-14 21:14:00,Mobile Phone Detected
2026-07-14 21:14:00,Looking Away
2026-07-14 21:14:03,Multiple Faces Detected
2026-07-14 21:14:09,Unknown Person Detected
2026-07-14 21:14:14,Looking Away
2026-07-14 21:17:39,Unknown Person Detected
2026-07-14 21:17:44,Multiple Faces Detected
2026-07-14 21:18:01,Student Absent
2026-07-14 21:18:09,Multiple Faces Detected
2026-07-14 21:18:26,Unknown Person Detected
2026-07-14 21:18:35,Looking Away
2026-07-14 21:18:36,Unknown Person Detected
2026-07-14 21:23:56,Multiple Faces Detected
2026-07-14 21:24:03,Multiple Faces Detected
2026-07-14 21:24:15,Multiple Faces Detected
2026-07-14 21:24:25,Multiple Faces Detected
2026-07-14 21:26:40,Student Absent
